"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US19001960100","Census Tract 9601; Adair County; Iowa","195200","22095",
"1400000US19001960200","Census Tract 9602; Adair County; Iowa","159500","16535",
"1400000US19001960300","Census Tract 9603; Adair County; Iowa","134200","18564",
"1400000US19003950100","Census Tract 9501; Adams County; Iowa","204700","38388",
"1400000US19003950200","Census Tract 9502; Adams County; Iowa","105400","16056",
"1400000US19005960100","Census Tract 9601; Allamakee County; Iowa","182800","28698",
"1400000US19005960200","Census Tract 9602; Allamakee County; Iowa","217000","31133",
"1400000US19005960300","Census Tract 9603; Allamakee County; Iowa","149900","22189",
"1400000US19005960400","Census Tract 9604; Allamakee County; Iowa","245900","22350",
"1400000US19005960500","Census Tract 9605; Allamakee County; Iowa","128900","14489",
"1400000US19007950100","Census Tract 9501; Appanoose County; Iowa","149100","28900",
"1400000US19007950200","Census Tract 9502; Appanoose County; Iowa","159100","11038",
"1400000US19007950300","Census Tract 9503; Appanoose County; Iowa","154500","54584",
"1400000US19007950400","Census Tract 9504; Appanoose County; Iowa","101500","12169",
"1400000US19007950500","Census Tract 9505; Appanoose County; Iowa","130800","30495",
"1400000US19009070100","Census Tract 701; Audubon County; Iowa","171900","50582",
"1400000US19009070200","Census Tract 702; Audubon County; Iowa","101300","13036",
"1400000US19009070300","Census Tract 703; Audubon County; Iowa","121500","13131",
"1400000US19011960100","Census Tract 9601; Benton County; Iowa","259800","30983",
"1400000US19011960200","Census Tract 9602; Benton County; Iowa","228400","28717",
"1400000US19011960300","Census Tract 9603; Benton County; Iowa","154900","14070",
"1400000US19011960400","Census Tract 9604; Benton County; Iowa","315500","23845",
"1400000US19011960500","Census Tract 9605; Benton County; Iowa","278100","12781",
"1400000US19011960600","Census Tract 9606; Benton County; Iowa","186000","34173",
"1400000US19011960700","Census Tract 9607; Benton County; Iowa","116700","6931",
"1400000US19013000100","Census Tract 1; Black Hawk County; Iowa","-","**",
"1400000US19013000200","Census Tract 2; Black Hawk County; Iowa","63100","6719",
"1400000US19013000300","Census Tract 3; Black Hawk County; Iowa","115500","16049",
"1400000US19013000400","Census Tract 4; Black Hawk County; Iowa","106300","12734",
"1400000US19013000500","Census Tract 5; Black Hawk County; Iowa","80800","12863",
"1400000US19013000700","Census Tract 7; Black Hawk County; Iowa","82600","24772",
"1400000US19013000800","Census Tract 8; Black Hawk County; Iowa","84200","19178",
"1400000US19013000900","Census Tract 9; Black Hawk County; Iowa","213800","40209",
"1400000US19013001000","Census Tract 10; Black Hawk County; Iowa","134600","8736",
"1400000US19013001100","Census Tract 11; Black Hawk County; Iowa","123500","16502",
"1400000US19013001200","Census Tract 12; Black Hawk County; Iowa","148000","9373",
"1400000US19013001301","Census Tract 13.01; Black Hawk County; Iowa","194100","11949",
"1400000US19013001302","Census Tract 13.02; Black Hawk County; Iowa","245900","23882",
"1400000US19013001400","Census Tract 14; Black Hawk County; Iowa","202200","21495",
"1400000US19013001501","Census Tract 15.01; Black Hawk County; Iowa","203900","19754",
"1400000US19013001502","Census Tract 15.02; Black Hawk County; Iowa","157900","5694",
"1400000US19013001503","Census Tract 15.03; Black Hawk County; Iowa","181000","9143",
"1400000US19013001600","Census Tract 16; Black Hawk County; Iowa","107600","8984",
"1400000US19013001701","Census Tract 17.01; Black Hawk County; Iowa","66100","5489",
"1400000US19013001702","Census Tract 17.02; Black Hawk County; Iowa","133300","13909",
"1400000US19013001800","Census Tract 18; Black Hawk County; Iowa","76300","18818",
"1400000US19013001900","Census Tract 19; Black Hawk County; Iowa","109800","26465",
"1400000US19013002000","Census Tract 20; Black Hawk County; Iowa","152900","13203",
"1400000US19013002200","Census Tract 22; Black Hawk County; Iowa","190600","14978",
"1400000US19013002301","Census Tract 23.01; Black Hawk County; Iowa","207300","14798",
"1400000US19013002303","Census Tract 23.03; Black Hawk County; Iowa","219700","18168",
"1400000US19013002304","Census Tract 23.04; Black Hawk County; Iowa","231500","12836",
"1400000US19013002400","Census Tract 24; Black Hawk County; Iowa","223400","13297",
"1400000US19013002500","Census Tract 25; Black Hawk County; Iowa","240100","16863",
"1400000US19013002601","Census Tract 26.01; Black Hawk County; Iowa","305900","24990",
"1400000US19013002604","Census Tract 26.04; Black Hawk County; Iowa","216900","25150",
"1400000US19013002605","Census Tract 26.05; Black Hawk County; Iowa","367700","38331",
"1400000US19013002606","Census Tract 26.06; Black Hawk County; Iowa","396200","35559",
"1400000US19013002700","Census Tract 27; Black Hawk County; Iowa","226000","13762",
"1400000US19013002800","Census Tract 28; Black Hawk County; Iowa","254700","23091",
"1400000US19013002901","Census Tract 29.01; Black Hawk County; Iowa","189700","14650",
"1400000US19013002902","Census Tract 29.02; Black Hawk County; Iowa","168400","8952",
"1400000US19013003001","Census Tract 30.01; Black Hawk County; Iowa","243400","27869",
"1400000US19013003002","Census Tract 30.02; Black Hawk County; Iowa","256700","21242",
"1400000US19015020100","Census Tract 201; Boone County; Iowa","337700","33050",
"1400000US19015020200","Census Tract 202; Boone County; Iowa","159200","8139",
"1400000US19015020300","Census Tract 203; Boone County; Iowa","186500","13990",
"1400000US19015020400","Census Tract 204; Boone County; Iowa","176700","19500",
"1400000US19015020500","Census Tract 205; Boone County; Iowa","245300","23404",
"1400000US19015020600","Census Tract 206; Boone County; Iowa","315500","38169",
"1400000US19015020700","Census Tract 207; Boone County; Iowa","212800","22921",
"1400000US19017004000","Census Tract 40; Bremer County; Iowa","143800","16478",
"1400000US19017004100","Census Tract 41; Bremer County; Iowa","240900","25678",
"1400000US19017004200","Census Tract 42; Bremer County; Iowa","246500","22857",
"1400000US19017004300","Census Tract 43; Bremer County; Iowa","206100","23577",
"1400000US19017004400","Census Tract 44; Bremer County; Iowa","191900","21285",
"1400000US19017004500","Census Tract 45; Bremer County; Iowa","190100","16686",
"1400000US19017004600","Census Tract 46; Bremer County; Iowa","262500","18744",
"1400000US19017004700","Census Tract 47; Bremer County; Iowa","119600","14606",
"1400000US19019950100","Census Tract 9501; Buchanan County; Iowa","140600","9990",
"1400000US19019950200","Census Tract 9502; Buchanan County; Iowa","204700","28413",
"1400000US19019950300","Census Tract 9503; Buchanan County; Iowa","193600","15064",
"1400000US19019950400","Census Tract 9504; Buchanan County; Iowa","169000","13838",
"1400000US19019950500","Census Tract 9505; Buchanan County; Iowa","170800","13481",
"1400000US19019950600","Census Tract 9506; Buchanan County; Iowa","186200","28631",
"1400000US19021960100","Census Tract 9601; Buena Vista County; Iowa","101300","8232",
"1400000US19021960200","Census Tract 9602; Buena Vista County; Iowa","111900","9551",
"1400000US19021960300","Census Tract 9603; Buena Vista County; Iowa","149800","14454",
"1400000US19021960400","Census Tract 9604; Buena Vista County; Iowa","174800","36083",
"1400000US19021960500","Census Tract 9605; Buena Vista County; Iowa","167700","22823",
"1400000US19021960600","Census Tract 9606; Buena Vista County; Iowa","191800","22151",
"1400000US19023070100","Census Tract 701; Butler County; Iowa","167000","9298",
"1400000US19023070200","Census Tract 702; Butler County; Iowa","97900","16684",
"1400000US19023070300","Census Tract 703; Butler County; Iowa","127400","14825",
"1400000US19023070400","Census Tract 704; Butler County; Iowa","199000","14918",
"1400000US19023070500","Census Tract 705; Butler County; Iowa","181000","20471",
"1400000US19025950100","Census Tract 9501; Calhoun County; Iowa","164000","14092",
"1400000US19025950200","Census Tract 9502; Calhoun County; Iowa","87000","6871",
"1400000US19025950300","Census Tract 9503; Calhoun County; Iowa","118600","21185",
"1400000US19025950400","Census Tract 9504; Calhoun County; Iowa","120200","11578",
